Player,Player-additional,League,Season,Home Continent,Home Country,Home City,Overall Value,Offensive Performance,Defensive Performance,Measurables,Migration Difficulty
Kyrie Irving,irvinky01,NBA,2017-18,Oceania,Australia,Melbourne,70,,,,15.0
Boris Diaw,diawbo01,NBA,2005-06,Europe,France,Cormeilles-en-Parisis,20,,,,22.0
Manu Ginóbili,ginobma01,NBA,2005-06,South America,Argentina,Bahia Blanca,20,,,,26.0
Luka Dončić,doncilu01,NBA,2019-20,Europe,Slovenia,Ljubljana,70,,,,68.0
Steve Nash,nashst01,NBA,2003-04,Africa,South Africa,Johannesburg,20,,,,16.0
Al Horford,horfoal01,NBA,2012-13,North America,Dominican Republic,Puerto Plata,20,,,,17.0
Dikembe Mutombo,mutomdi01,NBA,1992-93,Africa,DR Congo,Kinshasa,20,,,,57.0
Joel Embiid,embiijo01,NBA,2020-21,Africa,Cameroon,Yaounde,70,,,,11.0
Mehmet Okur,okurme01,NBA,2006-07,Asia,Türkiye,Yalova,70,,,,70.0
Tristan Thompson,thomptr01,NBA,2015-16,North America,Canada,Toronto,20,,,,0.0
Zydrunas Ilgauskas,ilgauzy01,NBA,2005-06,Europe,Lithuania,Kaunas,20,,,,68.0
Dikembe Mutombo,mutomdi01,NBA,1994-95,Africa,DR Congo,Kinshasa,70,,,,57.0
Tim Duncan,duncati01,NBA,1998-99,North America,United States Virgin Islands,St. Croix,20,,,,3.0
Yao Ming,mingya01,NBA,2002-03,Asia,China,Shanghai,70,,,,87.0
Wally Szczerbiak,szczewa02,NBA,2001-02,Europe,Spain,Madrid,70,,,,22.0
Joel Embiid,embiijo01,NBA,2018-19,Africa,Cameroon,Yaounde,70,,,,11.0
Al Horford,horfoal01,NBA,2014-15,North America,Dominican Republic,Puerto Plata,70,,,,17.0
Hakeem Olajuwon,olajuha01,NBA,1990-91,Africa,Nigeria,Lagos,20,,,,10.0
Swen Nater,natersw01,NBA,1980-81,Europe,Netherlands,Den Helder,20,,,,22.0
Tony Parker,parketo01,NBA,2008-09,Europe,Belgium,Bruges,70,,,,22.0
Giannis Antetokounmpo,antetgi01,NBA,2022-23,Europe,Greece,Athens,70,,,,69.0
Ben Gordon,gordobe01,NBA,2006-07,Europe,United Kingdom,London,20,,,,6.0
Luis Scola,scolalu01,NBA,2008-09,South America,Argentina,Buenos Aires,20,,,,25.0
Marcin Gortat,gortama01,NBA,2014-15,Europe,Poland,Lodz,20,,,,68.0
Yao Ming,mingya01,NBA,2005-06,Asia,China,Shanghai,70,,,,87.0
Pau Gasol,gasolpa01,NBA,2002-03,Europe,Spain,Barcelona,19,,,,22.0
Arvydas Sabonis,sabonar01,NBA,1995-96,Europe,Lithuania,Kaunas,19,,,,68.0
Pau Gasol,gasolpa01,NBA,2007-08,Europe,Spain,Barcelona,19,,,,22.0
Marc Gasol,gasolma01,NBA,2009-10,Europe,Spain,Barcelona,19,,,,22.0
Dražen Petrović,petrodr01,NBA,1992-93,Europe,Croatia,Sibenik,19,,,,68.0
Deandre Ayton,aytonde01,NBA,2020-21,North America,Bahamas,Nassau,19,,,,2.0
Kiki Vandeweghe,vandeki01,NBA,1984-85,Europe,Germany,Wiesbaden,19,,,,37.0
Detlef Schrempf,schrede01,NBA,1993-94,Europe,Germany,Leverkusen,19,,,,37.0
Dominique Wilkins,wilkido01,NBA,1993-94,Europe,France,Paris,69,,,,22.0
Steve Nash,nashst01,NBA,2000-01,Africa,South Africa,Johannesburg,19,,,,16.0
Pau Gasol,gasolpa01,NBA,2011-12,Europe,Spain,Barcelona,19,,,,22.0
Yao Ming,mingya01,NBA,2007-08,Asia,China,Shanghai,69,,,,87.0
Vlade Divac,divacvl01,NBA,1990-91,Europe,Serbia,Prijepolje,19,,,,69.0
Clint Capela,capelca01,NBA,2021-22,Europe,Switzerland,Geneva,19,,,,37.0
Steve Kerr,kerrst01,NBA,1995-96,Asia,Lebanon,Beirut,19,,,,86.0
Tim Duncan,duncati01,NBA,2012-13,North America,United States Virgin Islands,St. Croix,69,,,,3.0
Nikola Vučević,vucevni01,NBA,2022-23,Europe,Switzerland,Morges,19,,,,37.0
Jonas Valančiūnas,valanjo01,NBA,2014-15,Europe,Lithuania,Utena,19,,,,68.0
Tony Parker,parketo01,NBA,2010-11,Europe,Belgium,Bruges,19,,,,22.0
Ben Simmons,simmobe01,NBA,2018-19,Oceania,Australia,Melbourne,69,,,,15.0
Marc Gasol,gasolma01,NBA,2011-12,Europe,Spain,Barcelona,69,,,,22.0
Lauri Markkanen,markkla01,NBA,2022-23,Europe,Finland,Vantaa,69,,,,23.0
Dwight Powell,poweldw01,NBA,2021-22,North America,Canada,Toronto,19,,,,0.0
Leandro Barbosa,barbole01,NBA,2006-07,South America,Brazil,Sao Paulo,19,,,,24.0
Clint Capela,capelca01,NBA,2020-21,Europe,Switzerland,Geneva,19,,,,37.0
Detlef Schrempf,schrede01,NBA,1995-96,Europe,Germany,Leverkusen,19,,,,37.0
Danilo Gallinari,gallida01,NBA,2018-19,Europe,Italy,Sant'Angelo Lodigiano,19,,,,23.0
Tiago Splitter,splitti01,NBA,2012-13,South America,Brazil,Joinville,19,,,,24.0
Mychal Thompson,thompmy01,NBA,1981-82,North America,Bahamas,Nassau,19,,,,2.0
Dikembe Mutombo,mutomdi01,NBA,2000-01,Africa,DR Congo,Kinshasa,69,,,,57.0
Patrick Ewing,ewingpa01,NBA,1987-88,North America,Jamaica,Kingston,69,,,,3.0
Peja Stojaković,stojape01,NBA,2007-08,Europe,Croatia,Slavonska Pozega,19,,,,68.0
