Rk,Player,Ht.,From,To,Age,G,GS,Ht..1,Wt.,BMI,Pos,Team,Player-additional
13898,Tony Beckham,6-1,2002,2007,24-29,56,6.0,6-1,187.0,24.7,DB,DETTEN,BeckTo20
13899,Tom Beer,6-1,1994,1996,25-27,41,1.0,6-1,221.0,29.2,LB,DET,BeerTo20
13900,Brandon Bell,6-1,2017,2018,22-23,9,0.0,6-1,230.0,30.3,LB,CIN,BellBr01
13901,David Bell,6-1,2022,2023,22-23,31,6.0,6-1,212.0,28.0,WR,CLE,BellDa02
13902,D'Anthony Bell,6-1,2022,2023,26-27,33,6.0,6-1,211.0,27.8,S,CLE,BellDA03
13903,Ed Bell,6-1,1946,1949,25-28,42,1.0,6-1,227.0,29.9,,GNBMIA,BellEd20
13904,Eddie Bell,6-1,1955,1960,24-29,62,57.0,6-1,212.0,28.0,LDH,NYTPHI,BellEd21
13905,Kendrell Bell,6-1,2001,2007,23-29,90,72.0,6-1,254.0,33.5,RILB,KANPIT,BellKe20
13906,Le'Veon Bell,6-1,2013,2021,21-29,96,81.0,6-1,225.0,29.7,RB,BALKANNYJPITTAM,BellLe00
13907,Marcus Bell,6-1,2000,2002,23-25,45,9.0,6-1,245.0,32.3,LB,SEA,BellMa21
13908,Mike Bellamy,6-1,1990,1990,24,6,0.0,6-1,195.0,25.7,WR,PHI,BellMi21
13909,Nick Bellore,6-1,2011,2023,22-34,200,17.0,6-1,250.0,33.0,LB,DETNYJSEASFO,BellNi01
13910,Todd Bell,6-1,1981,1989,23-31,103,62.0,6-1,207.0,27.3,RLB,CHIPHI,BellTo00
13911,Vic Bellamy,6-1,1987,1987,24,3,3.0,6-1,195.0,25.7,DB,PHI,BellVi20
13912,Dane Belton,6-1,2022,2023,22-23,32,7.0,6-1,190.0,25.1,S,NYG,BeltDa00
13913,Christian Benford,6-1,2022,2023,22-23,24,19.0,6-1,205.0,27.0,CB,BUF,BenfCh00
13914,Ryan Benjamin,6-1,2001,2003,24-26,27,0.0,6-1,242.0,31.9,C,CHITAM,BenjRy21
13915,Ben Bennett,6-1,1987,1987,25,1,0.0,6-1,200.0,26.4,QB,CIN,BennBe20
13916,Earl Bennett,6-1,2008,2013,21-26,78,29.0,6-1,205.0,27.0,WR,CHI,BennEa00
13917,Fred Bennett,6-1,2007,2010,24-27,49,17.0,6-1,196.0,25.9,LCB,CINHOUSDG,BennFr99
13918,Sean Bennett,6-1,1999,2002,24-27,16,2.0,6-1,230.0,30.3,RB,NYG,BennSe00
13919,George Benson,6-1,1947,1947,28,1,0.0,6-1,205.0,27.0,,BDA,BensGe20
13920,Elijah Benton,6-1,2020,2020,24,1,0.0,6-1,205.0,27.0,S,CLE,BentEl00
13921,Bob Bercich,6-1,1960,1961,24-25,18,13.0,6-1,198.0,26.1,SS,DAL,BercBo20
13922,Pete Bercich,6-1,1995,2000,24-29,57,2.0,6-1,240.0,31.7,LB,MIN,BercPe20
13923,Brock Berlin,6-1,2007,2008,26-27,2,1.0,6-1,213.0,28.1,QB,STL,BerlBr00
13924,Bobby Berns,6-1,1920,1924,25-29,16,15.0,6-1,200.0,26.4,LT,DAYMUN,BernBo20
13925,Francis Bernard,6-1,2020,2021,25-26,21,0.0,6-1,235.0,31.0,LB,DAL,BernFr01
13926,Jared Bernhardt,6-1,2022,2022,25,2,0.0,6-1,195.0,25.7,WR,ATL,BernJa00
13927,Jarrick Bernard-Converse,6-1,2023,2023,23,8,0.0,6-1,197.0,26.0,S,NYJ,BernJa01
13928,Terrel Bernard,6-1,2022,2023,23-24,33,18.0,6-1,224.0,29.6,LB,BUF,BernTe00
13929,Bernard Berrian,6-1,2004,2011,24-31,109,70.0,6-1,185.0,24.4,WR,CHIMIN,BerrBe00
13930,Angelo Bertelli,6-1,1946,1948,25-27,16,5.0,6-1,190.0,25.1,,CHRLAD,BertAn20
13931,Don Bessillieu,6-1,1979,1985,23-29,59,19.0,6-1,200.0,26.4,DB,MIARAISTL,BessDo20
13932,Art Best,6-1,1977,1980,24-27,31,0.0,6-1,205.0,27.0,RB,CHINYG,BestAr20
13933,Ed Bettridge,6-1,1964,1964,24,3,0.0,6-1,235.0,31.0,LB,CLE,BettEd20
13934,Tom Beutler,6-1,1970,1971,24-25,8,0.0,6-1,234.0,30.9,LB,BALCLE,BeutTo20
13935,Taye Biddle,6-1,2006,2006,23,2,0.0,6-1,175.0,23.1,WR,CAR,BiddTa00
13936,Dick Bielski,6-1,1955,1963,23-31,114,44.0,6-1,224.0,29.6,TE,BALDALPHI,BielDi00
13937,Keishawn Bierria,6-1,2018,2019,23-24,21,0.0,6-1,223.0,29.4,LB,ARIDEN,BierKe00
13938,Fred Biletnikoff,6-1,1965,1978,22-35,190,161.0,6-1,190.0,25.1,WR,OAK,BileFr00
13939,Andrew Billings,6-1,2017,2023,22-28,84,68.0,6-1,311.0,41.0,NT,CHICINCLELVR,BillAn00
13940,John Billman,6-1,1946,1947,27-28,5,1.0,6-1,202.0,26.6,,BDACHR,BillJo20
13941,Gregg Bingham,6-1,1973,1984,22-33,173,173.0,6-1,227.0,29.9,LILB,HOU,BingGr20
13942,Dennis Biodrowski,6-1,1963,1967,23-27,30,0.0,6-1,250.0,33.0,G,KAN,BiodDe20
13943,Joe Biscaha,6-1,1959,1960,22-23,9,3.0,6-1,190.0,25.1,E,BOSNYG,BiscJo00
13944,Richard Bishop,6-1,1976,1983,26-33,89,50.0,6-1,275.0,36.3,RDE,MIANWERAM,BishRi20
13945,Frank Bissell,6-1,1925,1926,23-24,16,12.0,6-1,180.0,23.7,LE,AKR,BissFr20
13946,Charlie Bivins,6-1,1960,1967,22-29,102,2.0,6-1,212.0,28.0,HB,BUFCHIPIT,BiviCh00
13947,Del Bjork,6-1,1937,1938,23-24,20,9.0,6-1,218.0,28.8,,CHI,BjorDe20
13948,Hank Bjorklund,6-1,1972,1974,22-24,30,1.0,6-1,200.0,26.4,RB,NYJ,BjorHa00
13949,Hal Blackwell,6-1,1945,1945,23,2,0.0,6-1,205.0,27.0,,CRD,BlacHa21
13950,Justin Blackmon,6-1,2012,2013,22-23,20,18.0,6-1,210.0,27.7,WR,JAX,BlacJu00
13951,Kelly Blackwell,6-1,1992,1993,23-24,18,2.0,6-1,255.0,33.6,TE,CHIDAL,BlacKe21
13952,Lyle Blackwood,6-1,1973,1986,22-35,176,104.0,6-1,190.0,25.1,DB,BALCINMIASEA,BlacLy20
13953,Mike Black,6-1,1983,1987,22-26,58,0.0,6-1,197.0,26.0,P,DET,BlacMi20
13954,Roosevelt Blackmon,6-1,1998,1999,24-25,20,3.0,6-1,185.0,24.4,DB,CINGNB,BlacRo21
13955,Ed Blaine,6-1,1962,1966,22-26,70,55.0,6-1,240.0,31.7,LG/RG,GNBPHI,BlaiEd20
13956,Marquise Blair,6-1,2019,2022,22-25,25,3.0,6-1,196.0,25.9,DB,CARSEA,BlaiMa01
13957,Christian Blake,6-1,2019,2021,23-25,41,3.0,6-1,181.0,23.9,WR,ATL,BlakCh00
13958,Jeff Blake,6-1,1992,2005,22-35,119,100.0,6-1,223.0,29.4,QB,ARIBALCHICINNORNYJPHI,BlakJe00
13959,Brian Blankenship,6-1,1987,1991,24-28,61,38.0,6-1,286.0,37.7,G,PIT,BlanBr20
13960,Cary Blanchard,6-1,1992,2000,24-32,110,0.0,6-1,227.0,29.9,K,ARIINDNYGNYJWAS,blanccar01
13961,Greg Blankenship,6-1,1976,1976,22,10,0.0,6-1,212.0,28.0,LB,OAKPIT,BlanGr20
13962,Jerry Blanton,6-1,1979,1985,23-29,92,49.0,6-1,231.0,30.5,LB,KAN,BlanJe20
13963,Reed Blankenship,6-1,2022,2023,23-24,25,19.0,6-1,203.0,26.8,S,PHI,BlanRe00
13964,Robert Blanton,6-1,2012,2017,23-28,72,19.0,6-1,208.0,27.4,DB,BUFMIN,BlanRo00
13965,Rodrigo Blankenship,6-1,2020,2022,23-25,24,0.0,6-1,184.0,24.3,K,ARIIND,BlanRo03
13966,Sid Blanks,6-1,1964,1970,24-30,83,29.0,6-1,200.0,26.4,HB,BOSHOU,BlanSi00
13967,Phil Blazer,6-1,1960,1960,24,14,13.0,6-1,235.0,31.0,LG,BUF,BlazPh20
13968,Johnny Blood,6-1,1925,1938,22-35,137,66.0,6-1,188.0,24.8,WB,DULGNBMILPITPOT,BlooJo20
13969,David Blough,6-1,2019,2022,24-27,9,7.0,6-1,207.0,27.3,QB,ARIDET,BlouDa00
13970,Joey Blount,6-1,2022,2023,24-25,22,0.0,6-1,201.0,26.5,S,ARISEA,BlouJo00
13971,Lamar Blount,6-1,1946,1947,26-27,22,9.0,6-1,190.0,25.1,RE,BCLBUFMIA,BlouLa20
13972,Tony Blount,6-1,1980,1980,22,3,0.0,6-1,195.0,25.7,DB,NYG,BlouTo20
13973,Herb Blumer,6-1,1925,1933,25-33,59,47.0,6-1,200.0,26.4,LE,CRD,BlumHe20
13974,Ronnie Blye,6-1,1968,1969,27-28,27,0.0,6-1,202.0,26.6,RB,NYGPHI,BlyeRo00
13975,C.J. Board,6-1,2019,2022,26-29,28,5.0,6-1,181.0,23.9,WR,JAXNYGTEN,BoarC.00
13976,Leigh Bodden,6-1,2003,2011,22-30,95,68.0,6-1,193.0,25.5,RCB,CLEDETNWE,BoddLe20
13977,Tommy Bohanon,6-1,2013,2018,23-28,68,30.0,6-1,246.0,32.5,FB,JAXNYJ,BohaTo00
13978,Reed Bohovich,6-1,1962,1962,21,10,8.0,6-1,260.0,34.3,RT,NYG,BohoRe20
13979,Ned Bolcar,6-1,1990,1991,23-24,13,0.0,6-1,240.0,31.7,LB,MIASEA,BolcNe20
13980,Anquan Boldin,6-1,2003,2016,23-36,202,198.0,6-1,220.0,29.0,WR,ARIBALDETSFO,BoldAn00
13981,Gary Bolden,6-1,1987,1987,25,2,0.0,6-1,275.0,36.3,DT,PHI,BoldGa20
13982,Nick Bolkovac,6-1,1953,1954,25-26,17,1.0,6-1,230.0,30.3,K,PIT,BolkNi20
13983,Eddie Bollinger,6-1,1930,1930,24,4,2.0,6-1,215.0,28.4,,FRN,BollEd20
13984,Andy Bolton,6-1,1976,1978,22-24,32,2.0,6-1,205.0,27.0,RB,DETSEA,BoltAn00
13985,Lynn Bomar,6-1,1925,1926,24-25,20,19.0,6-1,210.0,27.7,RE,NYG,BomaLy20
13986,Bourbon Bondurant,6-1,1921,1922,23-24,8,7.0,6-1,202.0,26.6,LT,CHIEVN,BondBo20
13987,Devante Bond,6-1,2017,2020,24-27,34,6.0,6-1,236.0,31.1,LLB,CHITAM,BondDe00
13988,Deyshawn Bond,6-1,2017,2017,23,4,4.0,6-1,299.0,39.4,C,IND,BondDe01
13989,Ethan Bonner,6-1,2023,2023,24,2,0.0,6-1,186.0,24.5,CB,MIA,BonnEt00
13990,Elliott Bonowitz,6-1,1923,1925,21-23,20,10.0,6-1,190.0,25.1,,COLDAY,BonoEl20
13991,Dick Booth,6-1,1941,1945,23-27,15,5.0,6-1,190.0,25.1,,DET,BootDi20
13992,Fred Borak,6-1,1938,1938,25,1,0.0,6-1,195.0,25.7,,GNB,BoraFr20
13993,Chris Bordano,6-1,1998,2000,24-26,33,18.0,6-1,241.0,31.8,MLB,ATLNOR,BordCh20
13994,Tuf Borland,6-1,2021,2021,23,2,0.0,6-1,234.0,30.9,LB,MIN,BorlTu00
13995,Don Bosseler,6-1,1957,1964,21-28,96,76.0,6-1,212.0,28.0,FB,WAS,BossDo00
13996,Jonathan Bostic,6-1,2013,2022,22-31,121,86.0,6-1,245.0,32.3,RILB,CHIINDNWEPITWAS,BostJo00
13997,Keith Bostic,6-1,1983,1990,22-29,96,88.0,6-1,216.0,28.5,SS,CLEHOU,BostKe00
13998,Tre Boston,6-1,2014,2020,22-28,104,76.0,6-1,205.0,27.0,FS,ARICARLAC,BostTr00
13999,Kyle Bosworth,6-1,2011,2013,25-27,39,5.0,6-1,235.0,31.0,LB,DALJAX,BoswKy00
14000,Ron Botchan,6-1,1960,1961,25-26,28,12.0,6-1,238.0,31.4,LLB,HOULAC,BotcRo20
14001,Kevin Bouie,6-1,1996,1997,25-26,6,0.0,6-1,230.0,30.3,RB,ARISDG,BouiKe20
14002,Emil Boures,6-1,1982,1985,22-25,35,15.0,6-1,259.0,34.2,G,PIT,BourEm20
14003,Kendrick Bourne,6-1,2017,2023,22-28,99,25.0,6-1,205.0,27.0,WR,NWESFO,BourKe00
14004,Tony Bova,6-1,1942,1947,25-30,61,29.0,6-1,190.0,25.1,LE,CRDPHIPIT,BovaTo20
14005,Jim Bowdoin,6-1,1928,1934,24-30,75,50.0,6-1,227.0,29.9,RG,BKNGNBNYGPRT,BowdJi20
14006,Lynn Bowden Jr.,6-1,2020,2023,23-26,26,7.0,6-1,204.0,26.9,WR,MIANORNWE,BowdLy00
14007,Alvin Bowen,6-1,2010,2010,27,2,0.0,6-1,220.0,29.0,LB,JAX,BoweAl99
14008,Ken Bowen,6-1,1987,1987,25,1,0.0,6-1,220.0,29.0,LB,ATL,BoweKe20
14009,Matt Bowen,6-1,2000,2006,24-30,77,30.0,6-1,203.0,26.8,SS,BUFGNBSTLWAS,BoweMa20
14010,NaVorro Bowman,6-1,2010,2017,22-29,99,84.0,6-1,230.0,30.3,LB,OAKSFO,BowmNa99
14011,Zackary Bowman,6-1,2008,2015,24-31,99,28.0,6-1,197.0,26.0,DB,CHIMIANYG,BowmZa20
14012,Cory Boyd,6-1,2008,2008,23,1,0.0,6-1,212.0,28.0,RB,DEN,BoydCo01
14013,Mike Boyda,6-1,1949,1949,28,9,0.0,6-1,205.0,27.0,,NYB,BoydMi20
14014,Brant Boyer,6-1,1994,2003,23-32,130,17.0,6-1,240.0,31.7,LB,CLEJAXMIA,BoyeBr20
14015,Garland Boyette,6-1,1962,1972,22-32,120,86.0,6-1,238.0,31.4,MLB,HOUSTL,BoyeGa00
14016,McKinley Boykin,6-1,2007,2007,24,3,0.0,6-1,290.0,38.3,DT,NOR,BoykMc99
14017,Jim Boylan,6-1,1963,1963,24,3,0.0,6-1,185.0,24.4,WR,MIN,BoylJi00
14018,Tom Braatz,6-1,1957,1960,24-27,38,10.0,6-1,216.0,28.5,LB,DALRAMWAS,BraaTo20
14019,Don Bracken,6-1,1985,1993,23-31,99,0.0,6-1,214.0,28.2,P,GNBRAM,BracDo20
14020,Greg Bracelin,6-1,1980,1984,23-27,68,29.0,6-1,214.0,28.2,LB,BALDENINDOAK,BracGr20
14021,Carl Bradford,6-1,2016,2016,24,6,0.0,6-1,250.0,33.0,LB,GNBSFO,BradCa01
14022,Corey Bradford,6-1,1998,2006,23-31,114,50.0,6-1,197.0,26.0,WR,DETGNBHOU,BradCo00
14023,Darius Bradwell,6-1,2020,2021,23-24,4,0.0,6-1,230.0,30.3,FB,LAC,BradDa00
14024,James Bradberry,6-1,2016,2023,23-30,125,124.0,6-1,210.0,27.7,RCB,CARNYGPHI,BradJa00
14025,Ja'Marcus Bradley,6-1,2020,2021,24-25,8,1.0,6-1,195.0,25.7,WR,CLE,BradJa01
14026,Jeff Brady,6-1,1991,1999,23-31,115,53.0,6-1,235.0,31.0,LB,CARGNBINDMINPITRAMSDGTAM,BradJe20
14027,Mark Bradley,6-1,2005,2009,23-27,57,18.0,6-1,201.0,26.5,WR,CHIKAN,BradMa00
14028,Morris Bradshaw,6-1,1974,1982,22-30,112,31.0,6-1,195.0,25.7,WR,NWEOAK,BradMo00
14029,Pat Brady,6-1,1952,1954,26-28,36,0.0,6-1,195.0,25.7,P,PIT,BradPa21
14030,Shaun Bradley,6-1,2020,2022,23-25,45,1.0,6-1,240.0,31.7,LB,PHI,BradSh00
14031,Kerry Brady,6-1,1987,1989,24-26,6,0.0,6-1,205.0,27.0,K,BUFDALIND,bradyker01
14032,Michael Bragg,6-1,2006,2006,24,4,0.0,6-1,183.0,24.1,DB,KAN,BragMi00
14033,John Bramlett,6-1,1965,1971,24-30,86,73.0,6-1,220.0,29.0,RLB,ATLBOSDENMIA,BramJo00
14034,Jim Brandt,6-1,1952,1954,23-25,33,10.0,6-1,205.0,27.0,HB,PIT,BranJi20
14035,Scot Brantley,6-1,1980,1987,22-29,114,71.0,6-1,230.0,30.3,RILB,TAM,BranSc20
14036,Solomon Brannan,6-1,1965,1967,23-25,25,3.0,6-1,188.0,24.8,DB,KANNYJ,BranSo20
14037,Jason Bratton,6-1,1996,1996,24,2,0.0,6-1,252.0,33.2,RB,BUF,BratJa20
14038,Mel Bratton,6-1,1989,1990,24-25,32,6.0,6-1,225.0,29.7,RB,DEN,BratMe00
14039,Jim Braxton,6-1,1971,1978,22-29,90,64.0,6-1,243.0,32.1,RB,BUFMIA,BraxJi00
14040,Sam Brazinsky,6-1,1946,1946,25,5,0.0,6-1,215.0,28.4,,BUF,BrazSa20
14041,Delvin Breaux,6-1,2015,2016,26-27,22,22.0,6-1,210.0,27.7,LCB,NOR,BreaDe00
14042,Don Breaux,6-1,1963,1965,23-25,23,2.0,6-1,205.0,27.0,QB,DENSDG,BreaDo00
14043,Bill Bredde,6-1,1954,1954,21,12,0.0,6-1,195.0,25.7,HB,CRD,BredBi20
14044,John Bredice,6-1,1956,1956,22,12,9.0,6-1,213.0,28.1,RE,PHI,BredJo20
14045,Bill Breeden,6-1,1937,1937,24,9,3.0,6-1,210.0,27.7,,PIT,BreeBi20
14046,Al Brenner,6-1,1969,1970,22-23,7,0.0,6-1,200.0,26.4,DB,NYG,BrenAl20
14047,John Brennan,6-1,1939,1939,,2,0.0,6-1,204.0,26.9,,GNB,BrenJo20
14048,Matt Brennan,6-1,1925,1926,28-29,16,12.0,6-1,190.0,25.1,,BRLNYG,BrenMa20
14049,Carl Brettschneider,6-1,1956,1963,25-32,89,88.0,6-1,223.0,29.4,RLB,CRDDET,BretCa20
14050,Monte Brethauer,6-1,1953,1955,22-24,24,6.0,6-1,178.0,23.5,LE,BAL,BretMo20
14051,Aaron Brewer,6-1,2020,2023,23-26,58,40.0,6-1,295.0,38.9,C,TEN,BrewAa01
14052,Chris Brewer,6-1,1984,1987,22-25,16,1.0,6-1,203.0,26.8,RB,CHIDEN,BrewCh00
14053,Walt Brewster,6-1,1929,1929,22,8,7.0,6-1,195.0,25.7,RT,BUF,BrewWa20
14054,Anthony Bright,6-1,2002,2002,25,1,0.0,6-1,170.0,22.4,WR,CAR,BrigAn20
14055,Bob Briggs,6-1,1965,1965,24,7,0.0,6-1,228.0,30.1,FB,WAS,BrigBo00
14056,Gary Brightwell,6-1,2021,2023,22-24,37,0.0,6-1,220.0,29.0,RB,NYG,BrigGa00
14057,Lance Briggs,6-1,2003,2014,23-34,173,170.0,6-1,244.0,32.2,RLB,CHI,BrigLa99
14058,Walter Briggs,6-1,1987,1987,22,1,0.0,6-1,205.0,27.0,QB,NYJ,BrigWa20
14059,Kyle Brindza,6-1,2015,2015,22,4,0.0,6-1,236.0,31.1,K,TAM,BrinKy00
14060,Jaquan Brisker,6-1,2022,2023,23-24,30,30.0,6-1,200.0,26.4,DB,CHI,BrisJa01
14061,Gene Brito,6-1,1951,1960,26-35,97,96.0,6-1,226.0,29.8,RE,RAMWAS,BritGe00
14062,John Brockington,6-1,1971,1977,23-29,95,84.0,6-1,225.0,29.7,FB,GNBKAN,BrocJo00
14063,Richie Brockel,6-1,2011,2015,25-29,49,2.0,6-1,251.0,33.1,TE,CAR,BrocRi00
14064,Hal Broda,6-1,1927,1927,22,3,2.0,6-1,180.0,23.7,,CLE,BrodHa20
14065,John Brodie,6-1,1957,1973,22-38,201,158.0,6-1,198.0,26.1,QB,SFO,BrodJo00
14066,Jeff Brohm,6-1,1996,1997,25-26,8,0.0,6-1,205.0,27.0,QB,SFO,BrohJe00
14067,Zack Bronson,6-1,1997,2003,23-29,84,43.0,6-1,204.0,26.9,FS,SFO,BronZa20
14068,Bobby Brooks,6-1,1974,1976,23-25,32,18.0,6-1,195.0,25.7,DB,NYG,BrooBo20
14069,Chris Brooks,6-1,2023,2023,23,9,0.0,6-1,223.0,29.4,RB,MIA,BrooCh00
14070,Clifford Brooks,6-1,1972,1976,23-27,58,9.0,6-1,190.0,25.1,DB,BUFCLENYJPHI,BrooCl20
14071,Durant Brooks,6-1,2008,2008,23,6,0.0,6-1,202.0,26.6,P,WAS,BrooDu20
14072,Michael Brooks,6-1,1987,1996,23-32,138,113.0,6-1,236.0,31.1,LB,DENDETNYG,BrooMi01
14073,Kentrell Brothers,6-1,2016,2019,23-26,51,1.0,6-1,242.0,31.9,LB,MIN,BrotKe00
14074,John Broussard,6-1,2007,2007,24,8,0.0,6-1,185.0,24.4,WR,JAX,BrouJo00
14075,A.J. Brown,6-1,2019,2023,22-26,77,69.0,6-1,226.0,29.8,WR,PHITEN,BrowAJ00
14076,Anthony Brown,6-1,2022,2022,24,2,1.0,6-1,228.0,30.1,QB,BAL,BrowAn06
14077,Arthur Brown,6-1,2013,2016,20-23,48,0.0,6-1,250.0,33.0,LB,BALJAXNYJ,BrowAr00
14078,Bill Brown,6-1,1960,1960,24,14,9.0,6-1,230.0,30.3,MLB,BOS,BrowBi21
14079,Brittain Brown,6-1,2022,2022,25,6,0.0,6-1,205.0,27.0,RB,LVR,BrowBr06
14080,Buddy Brown,6-1,1951,1956,26-31,71,49.0,6-1,220.0,29.0,G,GNBWAS,BrowBu21
14081,Cedric Brown,6-1,1976,1984,22-30,100,95.0,6-1,199.0,26.3,FS,TAM,BrowCe20
14082,Chris Brown,6-1,1987,1987,24,1,0.0,6-1,295.0,38.9,T,NYJ,BrowCh23
14083,Chris Brown,6-1,2003,2003,25,4,0.0,6-1,195.0,25.7,DB,JAX,BrowCh25
14084,Chuck Brown,6-1,1979,1979,22,4,0.0,6-1,235.0,31.0,G,STL,BrowCh26
14085,Corwin Brown,6-1,1993,2000,23-30,120,20.0,6-1,200.0,26.4,DB,DETNWENYJ,BrowCo21
14086,Courtney Brown,6-1,2007,2008,23-24,17,1.0,6-1,205.0,27.0,DB,DAL,BrowCo97
14087,Dave Brown,6-1,1975,1989,22-36,216,203.0,6-1,190.0,25.1,RCB,GNBPITSEA,BrowDa01
14088,Dante Brown,6-1,2004,2004,24,1,0.0,6-1,218.0,28.8,RB,PIT,BrowDa02
14089,Dan Brown,6-1,1950,1950,25,11,5.0,6-1,200.0,26.4,LDE,WAS,BrowDa20
14090,Don Brown,6-1,1960,1960,23,3,0.0,6-1,205.0,27.0,HB,HOU,BrowDo20
14091,Eric Brown,6-1,1998,2004,23-29,97,87.0,6-1,210.0,27.7,SS,DENHOU,BrowEr21
14092,Fred Brown,6-1,2019,2020,26-27,14,1.0,6-1,195.0,25.7,WR,DEN,BrowFr01
14093,Jim Browne,6-1,1987,1987,25,2,1.0,6-1,215.0,28.4,RB,RAI,BrowJi20
14094,Jim Browner,6-1,1979,1980,24-25,18,6.0,6-1,209.0,27.6,DB,CIN,BrowJi21
14095,Ken Brown,6-1,1995,1995,24,2,0.0,6-1,235.0,31.0,LB,DEN,BrowKe21
14096,Ken Brown,6-1,1979,1980,25-26,23,0.0,6-1,245.0,32.3,C,DENGNB,BrowKe22
14097,Kyron Brown,6-1,2019,2021,23-25,4,1.0,6-1,195.0,25.7,DB,DALNYJ,BrowKy00
14098,Mike Brown,6-1,2022,2023,23-24,12,1.0,6-1,222.0,29.3,S,CLETEN,BrowMi02
14099,Otto Brown,6-1,1969,1973,22-26,63,10.0,6-1,188.0,24.8,DB,DALNYG,BrowOt20
14100,Preston Brown,6-1,2014,2019,22-27,81,77.0,6-1,251.0,33.1,LB,BUFCINOAK,BrowPr00
14101,Ray Brown,6-1,1971,1980,22-31,137,130.0,6-1,208.0,27.4,SS,ATLNOR,BrowRa22
14102,Reggie Brown,6-1,2005,2009,24-28,72,45.0,6-1,197.0,26.0,WR,PHI,BrowRe01
14103,Reggie Brown,6-1,1993,1994,23-24,8,0.0,6-1,195.0,25.7,WR,HOU,BrowRe21
14104,Richard Brown,6-1,1930,1930,23,11,8.0,6-1,220.0,29.0,C,PRT,BrowRi20
14105,Tom Brown,6-1,1987,1989,23-25,10,7.0,6-1,223.0,29.4,RB,MIA,BrowTo00
14106,Tony Brown,6-1,2020,2020,23,1,0.0,6-1,195.0,25.7,WR,WAS,BrowTo03
14107,Tom Brown,6-1,1964,1969,24-29,71,58.0,6-1,192.0,25.3,SS,GNBWAS,BrowTo21
14108,Willie Brown,6-1,1963,1978,23-38,204,185.0,6-1,195.0,25.7,LCB,DENOAK,BrowWi01
14109,Zach Brown,6-1,2012,2019,23-30,100,80.0,6-1,250.0,33.0,LILB,BUFPHITENWAS,BrowZa00
14110,Gail Bruce,6-1,1948,1951,25-28,50,28.0,6-1,206.0,27.2,RDE,SFO,BrucGa20
14111,Les Bruckner,6-1,1945,1945,27,2,0.0,6-1,195.0,25.7,,CRD,BrucLe20
14112,Bob Bruggers,6-1,1966,1971,22-27,57,21.0,6-1,230.0,30.3,RLB,MIASDG,BrugBo20
14113,Jim Brumfield,6-1,1971,1971,24,14,0.0,6-1,195.0,25.7,RB,PIT,BrumJi20
14114,Bob Brunet,6-1,1968,1977,22-31,81,6.0,6-1,205.0,27.0,RB,WAS,BrunBo00
14115,Dave Bruno,6-1,1987,1987,24,2,0.0,6-1,235.0,31.0,P,MIN,BrunDa20
14116,Mark Brunell,6-1,1994,2011,24-41,193,151.0,6-1,215.0,28.4,QB,GNBJAXNORNYJWAS,BrunMa00
14117,Mike Brunson,6-1,1970,1970,23,8,0.0,6-1,190.0,25.1,RB,ATL,BrunMi00
14118,T.J. Brunson,6-1,2020,2020,23,5,0.0,6-1,230.0,30.3,LB,NYG,BrunTJ00
14119,Tedy Bruschi,6-1,1996,2008,23-35,189,139.0,6-1,247.0,32.6,MLB,NWE,BrusTe99
14120,Antonio Bryant,6-1,2002,2009,21-28,106,82.0,6-1,211.0,27.8,WR,CLEDALSFOTAM,BryaAn00
14121,Bobby Bryant,6-1,1968,1980,24-36,161,128.0,6-1,170.0,22.4,DB,MIN,BryaBo01
14122,Coby Bryant,6-1,2022,2023,23-24,26,8.0,6-1,193.0,25.5,DB,SEA,BryaCo01
14123,Cullen Bryant,6-1,1973,1987,22-36,153,61.0,6-1,234.0,30.9,FB,RAMSEA,BryaCu00
14124,Romby Bryant,6-1,2005,2005,26,3,0.0,6-1,181.0,23.9,WR,ATL,BryaRo00
14125,Roderick Bryant,6-1,2004,2004,23,13,0.0,6-1,185.0,24.4,DB,NYJ,BryaRo20
14126,Tim Bryant,6-1,1987,1987,25,1,0.0,6-1,217.0,28.6,LB,MIN,BryaTi20
14127,Walter Bryan,6-1,1955,1955,22,10,4.0,6-1,185.0,24.4,LDH,BAL,BryaWa20
14128,Shawn Bryson,6-1,2000,2006,24-30,91,27.0,6-1,228.0,30.1,RB,BUFDET,BrysSh00
14129,Deone Bucannon,6-1,2014,2020,22-28,84,57.0,6-1,211.0,27.8,LILB,ARINYGTAM,BucaDe00
14130,Tim Buchanan,6-1,1969,1969,23,14,0.0,6-1,230.0,30.3,LB,CIN,BuchTi20
14131,Phil Bucklew,6-1,1937,1938,23-24,12,9.0,6-1,205.0,27.0,LE,RAM,BuckPh20
14132,Maury Buford,6-1,1982,1991,22-31,136,0.0,6-1,191.0,25.2,P,CHINYGSDG,BufoMa20
14133,Ray Buivid,6-1,1937,1938,22-23,17,6.0,6-1,195.0,25.7,,CHI,BuivRa20
14134,Rudy Bukich,6-1,1953,1968,23-38,103,41.0,6-1,195.0,25.7,QB,CHIPITRAMWAS,BukiRu00
14135,Norm Bulaich,6-1,1970,1979,24-33,120,66.0,6-1,218.0,28.8,RB,BALMIAPHI,BulaNo00
14136,Walt Buland,6-1,1920,1926,28-34,19,12.0,6-1,213.0,28.1,,DULGNBRII,BulaWa20
